epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,18627.8,1.38951,0.67272,0.85859,0.9187,0.83563,0.91469,0.5794,1.23223,0.71187,0.83961,0.0090991,0.0090991,0.0090991
93,18828.7,1.38864,0.67125,0.85846,0.914,0.8401,0.91547,0.58033,1.22633,0.72143,0.8387,0.0090892,0.0090892,0.0090892
94,19027.8,1.39137,0.67404,0.85878,0.91827,0.8376,0.91562,0.57877,1.22451,0.72788,0.83904,0.0090793,0.0090793,0.0090793
95,19232.7,1.38708,0.66867,0.85882,0.91949,0.83604,0.91573,0.57828,1.22767,0.74227,0.8397,0.0090694,0.0090694,0.0090694
96,19437.9,1.38921,0.67139,0.85826,0.91739,0.83576,0.916,0.58122,1.22761,0.73161,0.84003,0.0090595,0.0090595,0.0090595
97,19641.9,1.39224,0.67469,0.86042,0.91691,0.8377,0.91815,0.58264,1.22391,0.72109,0.84003,0.0090496,0.0090496,0.0090496
98,19849.2,1.37807,0.66622,0.85905,0.91763,0.83812,0.91799,0.5831,1.22564,0.70445,0.83971,0.0090397,0.0090397,0.0090397
99,20054.7,1.37822,0.66528,0.85963,0.91782,0.83849,0.91892,0.58328,1.23021,0.69224,0.8407,0.0090298,0.0090298,0.0090298
100,20258.3,1.37486,0.66886,0.85974,0.92327,0.83313,0.9188,0.5827,1.235,0.69327,0.84136,0.0090199,0.0090199,0.0090199
101,20463,1.36046,0.65629,0.85656,0.9272,0.83195,0.9193,0.58522,1.2325,0.69002,0.84049,0.00901,0.00901,0.00901
102,20667.2,1.37258,0.66579,0.85992,0.91954,0.83956,0.91947,0.58549,1.23231,0.69315,0.83994,0.0090001,0.0090001,0.0090001
103,20870.9,1.37447,0.6616,0.85925,0.92308,0.83658,0.91997,0.58557,1.23405,0.7023,0.84018,0.0089902,0.0089902,0.0089902
104,21070.3,1.38371,0.67093,0.86146,0.92245,0.83672,0.92039,0.58657,1.23418,0.68899,0.84084,0.0089803,0.0089803,0.0089803
105,21271.4,1.37498,0.66475,0.85865,0.92011,0.84141,0.91954,0.58633,1.23177,0.69769,0.84016,0.0089704,0.0089704,0.0089704
106,21475.6,1.37359,0.66192,0.85809,0.92122,0.8383,0.92004,0.58585,1.23025,0.69532,0.84024,0.0089605,0.0089605,0.0089605
107,21674.6,1.3791,0.6679,0.85889,0.92312,0.83726,0.92077,0.58647,1.23029,0.6964,0.84032,0.0089506,0.0089506,0.0089506
108,21873.1,1.37213,0.65929,0.85815,0.91795,0.84168,0.92049,0.58489,1.23079,0.69092,0.84074,0.0089407,0.0089407,0.0089407
109,22068.8,1.37428,0.66067,0.85932,0.92344,0.83794,0.91989,0.58453,1.23004,0.68993,0.84074,0.0089308,0.0089308,0.0089308
110,22276.1,1.36943,0.65864,0.85817,0.9238,0.84013,0.92082,0.58643,1.22712,0.68556,0.84046,0.0089209,0.0089209,0.0089209
111,22477.2,1.37864,0.66368,0.85947,0.92564,0.8381,0.92104,0.58672,1.2261,0.68844,0.84003,0.008911,0.008911,0.008911
112,22677.1,1.37177,0.66012,0.85799,0.92616,0.83934,0.92208,0.58745,1.22393,0.6865,0.83981,0.0089011,0.0089011,0.0089011
113,22875,1.37047,0.66159,0.85875,0.92537,0.8434,0.92284,0.58839,1.21758,0.67954,0.83862,0.0088912,0.0088912,0.0088912
114,23089.7,1.38311,0.66046,0.85631,0.92817,0.84217,0.92383,0.5891,1.21716,0.67325,0.83886,0.0088813,0.0088813,0.0088813
115,23290.3,1.3767,0.65992,0.85638,0.92883,0.84108,0.92352,0.5887,1.21776,0.67341,0.83903,0.0088714,0.0088714,0.0088714
116,23497.3,1.37945,0.66379,0.85751,0.92763,0.84203,0.92418,0.58921,1.21747,0.66894,0.83898,0.0088615,0.0088615,0.0088615
117,23699.4,1.36122,0.65586,0.85492,0.92343,0.84421,0.9239,0.58944,1.21487,0.66919,0.83818,0.0088516,0.0088516,0.0088516
118,23899.6,1.37246,0.65869,0.85545,0.92412,0.8449,0.92408,0.58974,1.21353,0.66626,0.83791,0.0088417,0.0088417,0.0088417
119,24101.1,1.36661,0.65508,0.85685,0.9245,0.84284,0.92408,0.59008,1.21236,0.66307,0.83769,0.0088318,0.0088318,0.0088318
120,24301.2,1.36446,0.6558,0.85567,0.92469,0.8418,0.92398,0.59059,1.21296,0.66288,0.83786,0.0088219,0.0088219,0.0088219
